no,loc,X,Y
1,서울,60,127
2,부산광역시,98,76
3,대구광역시,89,90
4,인천광역시,55,124
5,광주광역시,58,74
6,대전광역시,67,100
7,울산광역시,102,84
8,세종,66,103
9,강화,51,130
10,백령도,60,120
11,수원,60,121
12,성남,63,124
13,의정부,61,130
14,안양,59,123
15,부천,56,125
16,광명,58,125
17,평택,62,114
18,동두천,61,134
19,안산,58,121
20,고양,57,128
21,과천,60,124
22,구리,62,127
23,남양주,64,128
24,오산,62,118
25,시흥,57,123
26,군포,59,122
27,의왕,60,122
28,하남,64,126
29,용인,64,119
30,파주,56,131
31,이천,68,121
32,안성,65,115
33,김포,55,128
34,화성,57,119
35,광주,65,123
36,양주,61,131
37,포천,64,134
38,여주,71,121
39,연천,61,138
40,가평,69,133
41,양평,69,125
42,대관령,73,134
43,춘천,73,134
44,원주,76,122
45,강릉,92,131
46,동해,97,127
47,태백,95,119
48,속초,87,141
49,삼척,98,125
50,홍천,75,130
51,횡성,77,125
52,영월,86,119
53,평창,84,123
54,정선,89,123
55,철원,65,139
56,화천,72,139
57,양구,77,139
58,인제,80,138
59,고성,85,145
60,양양,88,138
61,추풍령,69,107
62,청주,69,106
63,충주,76,114
64,제천,81,118
65,보은,73,103
66,옥천,71,99
67,영동,74,97
68,증평,71,110
69,진천,68,111
70,괴산,74,111
71,음성,72,113
72,단양,84,115
73,천안,63,110
74,공주,63,102
75,보령,54,100
76,아산,60,110
77,서산,51,110
78,논산,62,97
79,계룡,65,99
80,당진,54,112
81,금산,69,95
82,부여,59,99
83,서천,55,94
84,청양,57,103
85,홍성,55,106
86,예산,58,107
87,태안,48,109
88,전주,63,89
89,군산,56,92
90,익산,60,91
91,정읍,58,83
92,남원,68,80
93,김제,59,88
94,완주,63,89
95,진안,68,88
96,무주,72,93
97,장수,70,85
98,임실,66,84
99,순창,63,79
100,고창,56,80
101,부안,56,87
102,흑산도,51,67
103,목포,50,67
104,여수,73,66
105,순천,70,70
106,나주,56,71
107,광양,73,70
108,담양,61,78
109,곡성,66,77
110,구례,69,75
111,고흥,66,62
112,보성,62,66
113,화순,61,72
114,장흥,59,64
115,강진,57,63
116,해남,54,61
117,영암,56,66
118,무안,52,71
119,함평,52,72
120,영광,52,77
121,장성,57,77
122,완도,57,56
123,진도,48,59
124,신안,50,66
125,달성,89,90
126,포항,102,94
127,경주,100,91
128,김천,80,96
129,안동,91,106
130,구미,84,96
131,영주,89,111
132,영천,95,93
133,상주,81,102
134,문경,81,106
135,경산,91,90
136,군위,88,99
137,의성,90,101
138,청송,96,103
139,영양,97,108
140,영덕,102,103
141,청도,91,86
142,고령,83,87
143,성주,83,91
144,칠곡,85,93
145,예천,86,107
146,봉화,90,113
147,울진,102,115
148,울릉,127,127
149,독도,144,123
150,창원,90,77
151,진주,81,75
152,통영,87,68
153,사천,80,71
154,김해,95,77
155,밀양,92,83
156,거제,90,69
157,양산,97,79
158,의령,83,78
159,함안,86,77
160,창녕,87,83
161,고성,85,71
162,남해,77,68
163,하동,74,73
164,산청,76,80
165,함양,74,82
166,거창,77,86
167,합천,81,84
168,고산,52,38
169,성산포,52,38
170,성판악,52,38
171,제주,53,38
172,서귀포,52,33
