kk,kw,cc,jl,ks,jj
서울,춘천시,청주시,전주시,포항시,제주시
인천광역시,원주시,충주시,군산시,경주시,서귀포시
백령도,강릉시,추풍령,익산시,김천시,성산포
강화군,동해시,제천시,정읍시,안동시,성판악
수원시,대관령,보은군,남원시,구미시,
성남시,태백시,옥천군,김제시,영주시,
의정부시,속초시,영동군,완주군,영천시,
안양시,삼척시,증평군,진안군,상주시,
부천시,홍천군,괴산군,무주군,문경시,
광명시,횡성군,음성군,장수군,경산시,
평택시,영월군,단양군,임실군,군위군,
동두천시,평창군,천안시,순창군,의성군,
안산시,정선군,공주시,고창군,청송군,
고양시,철원군,보령시,부안군,영양군,
과천시,화천군,아산시,목포시,영덕군,
구리시,양구군,서산시,여수시,청도군,
남양주시,인제군,논산시,순천시,고령군,
오산시,고성군,계룡시,나주시,성주군,
시흥시,양양군,당진시,광양시,달성군,
군포시,,금산군,담양군,칠곡군,
의왕시,,부여군,곡성군,예천군,
하남시,,서천군,구례군,봉화군,
용인시,,청양군,고흥군,울진군,
파주시,,홍성군,보성군,울릉군,
이천시,,예산군,화순군,독도,
안성시,,태안군,장흥군,창원시,
김포시,,세종특별자치시,강진군,진주시,
화성시,,대전광역시,해남군,통영시,
광주시,,,영암군,사천시,
양주시,,,흑산도,김해시,
포천시,,,무안군,밀양시,
여주시,,,함평군,거제시,
연천군,,,영광군,양산시,
가평군,,,장성군,의령군,
양평군,,,완도군,함안군,
,,,진도군,창녕군,
,,,신안군,고성군,
,,,광주광역시,남해군,
,,,,하동군,
,,,,산청군,
,,,,함양군,
,,,,거창군,
,,,,합천군,
,,,,대구광역시,
,,,,울산광역시,
,,,,부산광역시,
