name,xy
서울,lon=126.98164170000001&lat=37.57037778
부산광역시,lon=129.0769528&lat=35.17701944
대구광역시,lon=128.6035528&lat=35.86854167
인천광역시,lon=126.7073528&lat=37.45323333
광주광역시,lon=126.85336389999999&lat=35.156975
대전광역시,lon=127.38656670000002&lat=36.34711944
울산광역시,lon=129.3136889&lat=35.53540833
세종특별자치시,lon=127.28906909999999&lat=36.4800121
백령도,lon=124.71869109999999&lat=37.9741764
강화군,lon=126.49&lat=37.74385833
수원시,lon=127.01222220000001&lat=37.30101111
성남시,lon=127.14771940000001&lat=37.44749167
의정부시,lon=127.03584170000002&lat=37.73528889
안양시,lon=126.95335559999998&lat=37.3897
부천시,lon=126.766&lat=37.5035917
광명시,lon=126.86670829999998&lat=37.47575
평택시,lon=127.11465559999999&lat=36.98943889
동두천시,lon=127.0626528&lat=37.90091667
안산시,lon=126.84681940000002&lat=37.29851944
고양시,lon=126.8341972&lat=37.63458333
과천시,lon=126.9898&lat=37.42637222
구리시,lon=127.1318639&lat=37.591625
남양주시,lon=127.2186333&lat=37.63317778
오산시,lon=127.07964170000001&lat=37.14691389
시흥시,lon=126.80507779999999&lat=37.37731944
군포시,lon=126.9375&lat=37.35865833
의왕시,lon=126.9703889&lat=37.34195
하남시,lon=127.21700000000001&lat=37.53649722
용인시,lon=127.20384440000001&lat=37.23147778
파주시,lon=126.7819528&lat=37.75708333
이천시,lon=127.44321940000002&lat=37.27543611
안성시,lon=127.28184440000001&lat=37.005175
김포시,lon=126.7177778&lat=37.61245833
화성시,lon=126.83353059999999&lat=37.19681667
광주시,lon=127.2577861&lat=37.41450556
양주시,lon=127.04781940000001&lat=37.78245
포천시,lon=127.20241940000001&lat=37.89215556
여주시,lon=127.6396222&lat=37.29535833
연천군,lon=127.07706670000002&lat=38.09336389
가평군,lon=127.51177779999999&lat=37.82883056
양평군,lon=127.4898861&lat=37.48893611
춘천시,lon=127.7323111&lat=37.87854167
원주시,lon=127.9220556&lat=37.33908333
강릉시,lon=128.8784972&lat=37.74913611
동해시,lon=129.1166333&lat=37.52193056
대관령,lon=128.70843059999999&lat=37.67092222
태백시,lon=128.9879972&lat=37.16122778
속초시,lon=128.59416670000002&lat=38.204275
삼척시,lon=129.1674889&lat=37.44708611
홍천군,lon=127.89084170000001&lat=37.69442222
횡성군,lon=127.9872222&lat=37.48895833
