date,hr,mm,percent,cloudy
1969-01-01,1.75,0.1,57.0,7.3
1969-01-02,0.0,0.0,57.0,0.8
1969-01-03,3.25,0.1,65.3,5.8
1969-01-04,3.98,0.1,74.5,8.5
1969-01-05,20.27,3.9,80.8,10.0
1969-01-06,0.0,0.0,66.5,6.8
1969-01-07,0.0,0.0,67.8,3.8
1969-01-08,0.0,0.0,74.5,2.0
1969-01-09,0.0,0.0,67.5,1.0
1969-01-10,0.0,0.0,76.8,10.0
1969-01-11,0.0,0.0,62.5,10.0
1969-01-12,0.0,0.0,50.5,0.0
1969-01-13,0.0,0.0,61.3,0.0
1969-01-14,0.0,0.0,51.3,2.8
1969-01-15,0.0,0.0,52.3,0.0
1969-01-16,0.0,0.0,68.8,5.0
1969-01-17,0.0,0.0,73.0,8.5
1969-01-18,0.0,0.0,76.0,8.3
1969-01-19,0.0,0.0,73.3,3.5
1969-01-20,0.0,0.0,69.5,7.5
1969-01-21,0.0,0.0,54.5,4.3
1969-01-22,0.0,0.0,67.3,0.0
1969-01-23,1.42,0.1,65.5,9.8
1969-01-24,0.0,0.0,62.3,4.5
1969-01-25,6.13,9.1,83.0,10.0
1969-01-26,10.5,9.0,82.8,10.0
1969-01-27,0.0,0.0,78.0,10.0
1969-01-28,23.33,20.1,83.3,10.0
1969-01-29,13.53,2.0,63.3,9.3
1969-01-30,7.55,0.4,59.8,10.0
1969-01-31,18.4,3.9,80.5,10.0
1969-02-01,0.93,0.0,65.8,8.0
1969-02-02,0.0,0.0,58.8,2.0
1969-02-03,0.0,0.0,72.5,7.5
1969-02-04,10.92,1.3,64.3,7.8
1969-02-05,0.0,0.0,51.5,0.0
1969-02-06,0.0,0.0,62.3,1.5
1969-02-07,11.0,0.3,77.8,10.0
1969-02-08,0.0,0.0,60.8,2.0
1969-02-09,0.0,0.0,66.3,4.8
1969-02-10,0.0,0.0,70.3,1.5
1969-02-11,0.0,0.0,76.5,2.5
1969-02-12,0.0,0.0,77.5,5.0
1969-02-13,11.6,4.5,86.8,10.0
1969-02-14,4.48,14.3,82.5,8.0
1969-02-15,6.63,0.0,72.0,10.0
1969-02-16,8.28,1.2,80.5,10.0
1969-02-17,8.25,3.6,85.8,10.0
1969-02-18,20.17,5.9,89.3,10.0
1969-02-19,3.17,0.2,81.0,10.0
1969-02-20,10.42,0.6,77.0,9.5
1969-02-21,4.83,0.0,65.5,9.8
1969-02-22,0.0,0.0,47.3,3.8
1969-02-23,0.0,0.0,56.3,8.8
1969-02-24,0.0,0.0,65.3,2.5
1969-02-25,0.0,0.0,57.8,3.5
1969-02-26,0.0,0.0,57.0,6.8
1969-02-27,2.72,0.1,67.3,6.5
1969-02-28,2.32,0.7,65.8,7.0
1969-03-01,0.0,0.0,60.3,8.8
1969-03-02,0.0,0.0,69.5,6.8
1969-03-03,0.93,0.0,76.5,9.3
1969-03-04,7.83,3.0,77.0,6.3
1969-03-05,0.0,0.0,72.5,3.5
1969-03-06,0.0,0.0,75.8,2.5
1969-03-07,0.0,0.0,75.3,3.0
1969-03-08,0.0,0.0,75.0,2.8
1969-03-09,0.0,0.0,78.0,5.8
1969-03-10,0.0,0.0,68.8,2.0
1969-03-11,1.73,0.0,76.5,8.3
1969-03-12,15.7,3.5,87.8,9.5
1969-03-13,1.68,0.4,80.0,7.3
1969-03-14,0.0,0.0,69.0,4.8
1969-03-15,0.0,0.0,64.8,6.8
1969-03-16,6.12,3.8,81.5,7.5
1969-03-17,0.0,0.0,59.5,0.0
