date,hr,mm,percent,cloudy
1964-01-01,0.0,0.0,59.3,9.0
1964-01-02,0.0,0.0,62.7,6.7
1964-01-03,0.0,0.0,56.7,0.0
1964-01-04,0.0,0.0,66.0,0.7
1964-01-05,0.2,0.0,68.3,8.3
1964-01-06,1.25,0.1,79.0,6.7
1964-01-07,0.0,0.0,70.3,7.7
1964-01-08,0.0,0.0,80.7,9.3
1964-01-09,0.0,0.0,76.3,0.0
1964-01-10,0.0,0.0,74.3,5.7
1964-01-11,8.87,6.9,64.3,10.0
1964-01-12,8.58,18.7,91.0,10.0
1964-01-13,0.0,0.0,83.3,6.7
1964-01-14,0.0,0.0,72.3,0.0
1964-01-15,0.0,0.0,70.3,4.0
1964-01-16,0.0,0.0,72.3,10.0
1964-01-17,0.0,0.4,83.0,6.7
1964-01-18,4.9,0.2,70.3,5.7
1964-01-19,0.0,0.0,53.3,0.0
1964-01-20,0.0,0.0,68.0,0.0
1964-01-21,0.0,0.0,73.3,7.0
1964-01-22,0.0,0.0,68.3,4.7
1964-01-23,0.0,0.0,76.7,1.7
1964-01-24,0.0,0.0,60.0,0.0
1964-01-25,0.0,0.0,76.3,0.0
1964-01-26,0.0,0.0,76.3,3.3
1964-01-27,0.0,0.0,69.3,7.3
1964-01-28,8.18,0.2,71.7,9.3
1964-01-29,14.48,1.2,82.7,10.0
1964-01-30,0.0,0.9,81.7,10.0
1964-01-31,20.77,3.4,80.0,10.0
1964-02-01,8.82,0.9,79.3,9.7
1964-02-02,2.92,0.0,73.7,0.0
1964-02-03,0.0,0.0,72.3,0.7
1964-02-04,0.0,0.0,67.3,9.0
1964-02-05,0.0,0.0,67.7,0.0
1964-02-06,15.28,7.3,81.0,10.0
1964-02-07,5.42,4.3,85.7,10.0
1964-02-08,24.0,14.8,93.3,10.0
1964-02-09,22.33,8.2,91.3,10.0
1964-02-10,10.25,3.2,80.3,10.0
1964-02-11,0.63,0.0,54.0,2.0
1964-02-12,0.0,0.0,49.0,0.0
1964-02-13,0.0,0.0,64.0,1.0
1964-02-14,0.0,0.0,53.7,0.0
1964-02-15,0.0,0.0,64.0,6.7
1964-02-16,0.55,0.0,67.7,6.7
1964-02-17,0.0,0.0,55.7,3.3
1964-02-18,0.0,0.0,63.0,4.3
1964-02-19,0.0,0.0,61.7,4.0
1964-02-20,0.0,0.0,56.7,5.0
1964-02-21,0.0,0.0,56.7,0.7
